"","Treatment","Metric","BFx","BFy","BFxy","Value"
"1","Flow reduction
& Fine sediment
addition","EPT (abundance)",1,0,"BF10",6.58108108108108
"2","Flow reduction
& Fine sediment
addition","EPT (abundance)",2,0,"BF20",3.91891891891892
"3","Flow reduction
& Fine sediment
addition","EPT (abundance)",3,0,"BF30",2.01351351351351
"4","Flow reduction
& Fine sediment
addition","EPT (abundance)",2,1,"BF21",0.595482546201232
"5","Flow reduction
& Fine sediment
addition","EPT (abundance)",3,1,"BF31",0.305954825462012
"6","Flow reduction
& Fine sediment
addition","EPT (abundance)",3,2,"BF32",0.513793103448276
"7","Flow reduction
& Fine sediment
addition","% EPT",1,0,"BF10",6.33766233766234
"8","Flow reduction
& Fine sediment
addition","% EPT",2,0,"BF20",3.79220779220779
"9","Flow reduction
& Fine sediment
addition","% EPT",3,0,"BF30",1.85714285714286
"10","Flow reduction
& Fine sediment
addition","% EPT",2,1,"BF21",0.598360655737705
"11","Flow reduction
& Fine sediment
addition","% EPT",3,1,"BF31",0.293032786885246
"12","Flow reduction
& Fine sediment
addition","% EPT",3,2,"BF32",0.48972602739726
"13","Flow reduction
& Fine sediment
addition","EPT (number taxa)",1,0,"BF10",18.9183673469388
"14","Flow reduction
& Fine sediment
addition","EPT (number taxa)",2,0,"BF20",0.489795918367347
"15","Flow reduction
& Fine sediment
addition","EPT (number taxa)",3,0,"BF30",0
"16","Flow reduction
& Fine sediment
addition","EPT (number taxa)",2,1,"BF21",0.0258899676375405
"17","Flow reduction
& Fine sediment
addition","EPT (number taxa)",3,1,"BF31",0
"18","Flow reduction
& Fine sediment
addition","EPT (number taxa)",3,2,"BF32",0
"19","Flow reduction
& Fine sediment
addition","% Lotic",1,0,"BF10",7.39784946236559
"20","Flow reduction
& Fine sediment
addition","% Lotic",2,0,"BF20",2.02150537634409
"21","Flow reduction
& Fine sediment
addition","% Lotic",3,0,"BF30",0.333333333333333
"22","Flow reduction
& Fine sediment
addition","% Lotic",2,1,"BF21",0.273255813953488
"23","Flow reduction
& Fine sediment
addition","% Lotic",3,1,"BF31",0.0450581395348837
"24","Flow reduction
& Fine sediment
addition","% Lotic",3,2,"BF32",0.164893617021277
"25","Flow reduction
& Fine sediment
addition","Fast/Slow flow (adapt., ratio)",1,0,"BF10",7.15957446808511
"26","Flow reduction
& Fine sediment
addition","Fast/Slow flow (adapt., ratio)",2,0,"BF20",2.25531914893617
"27","Flow reduction
& Fine sediment
addition","Fast/Slow flow (adapt., ratio)",3,0,"BF30",0.223404255319149
"28","Flow reduction
& Fine sediment
addition","Fast/Slow flow (adapt., ratio)",2,1,"BF21",0.315007429420505
"29","Flow reduction
& Fine sediment
addition","Fast/Slow flow (adapt., ratio)",3,1,"BF31",0.0312035661218425
"30","Flow reduction
& Fine sediment
addition","Fast/Slow flow (adapt., ratio)",3,2,"BF32",0.0990566037735849
"31","Flow reduction
& Fine sediment
addition","% Gill breather",1,0,"BF10",2.5
"32","Flow reduction
& Fine sediment
addition","% Gill breather",2,0,"BF20",0.181481481481481
"33","Flow reduction
& Fine sediment
addition","% Gill breather",3,0,"BF30",0.0222222222222222
"34","Flow reduction
& Fine sediment
addition","% Gill breather",2,1,"BF21",0.0725925925925926
"35","Flow reduction
& Fine sediment
addition","% Gill breather",3,1,"BF31",0.00888888888888889
"36","Flow reduction
& Fine sediment
addition","% Gill breather",3,2,"BF32",0.122448979591837
"37","Flow reduction
& Fine sediment
addition","Gils/Tegument (ratio)",1,0,"BF10",2.57677902621723
"38","Flow reduction
& Fine sediment
addition","Gils/Tegument (ratio)",2,0,"BF20",0.168539325842697
"39","Flow reduction
& Fine sediment
addition","Gils/Tegument (ratio)",3,0,"BF30",0.00374531835205993
"40","Flow reduction
& Fine sediment
addition","Gils/Tegument (ratio)",2,1,"BF21",0.0654069767441861
"41","Flow reduction
& Fine sediment
addition","Gils/Tegument (ratio)",3,1,"BF31",0.00145348837209302
"42","Flow reduction
& Fine sediment
addition","Gils/Tegument (ratio)",3,2,"BF32",0.0222222222222222
"43","Flow reduction
& Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",1,0,"BF10",9.38202247191011
"44","Flow reduction
& Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",2,0,"BF20",0.842696629213483
"45","Flow reduction
& Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",3,0,"BF30",0.0112359550561798
"46","Flow reduction
& Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",2,1,"BF21",0.0898203592814371
"47","Flow reduction
& Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",3,1,"BF31",0.00119760479041916
"48","Flow reduction
& Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",3,2,"BF32",0.0133333333333333
"49","Flow reduction
& Fine sediment
addition","% Scraper",1,0,"BF10",2.22801302931596
"50","Flow reduction
& Fine sediment
addition","% Scraper",2,0,"BF20",0.0293159609120521
"51","Flow reduction
& Fine sediment
addition","% Scraper",3,0,"BF30",0
"52","Flow reduction
& Fine sediment
addition","% Scraper",2,1,"BF21",0.0131578947368421
"53","Flow reduction
& Fine sediment
addition","% Scraper",3,1,"BF31",0
"54","Flow reduction
& Fine sediment
addition","% Scraper",3,2,"BF32",0
"55","Flow reduction
& Fine sediment
addition","Slow flow adapt. (rel. abundance)",1,0,"BF10",1.05405405405405
"56","Flow reduction
& Fine sediment
addition","Slow flow adapt. (rel. abundance)",2,0,"BF20",0.0228690228690229
"57","Flow reduction
& Fine sediment
addition","Slow flow adapt. (rel. abundance)",3,0,"BF30",0.00207900207900208
"58","Flow reduction
& Fine sediment
addition","Slow flow adapt. (rel. abundance)",2,1,"BF21",0.0216962524654832
"59","Flow reduction
& Fine sediment
addition","Slow flow adapt. (rel. abundance)",3,1,"BF31",0.0019723865877712
"60","Flow reduction
& Fine sediment
addition","Slow flow adapt. (rel. abundance)",3,2,"BF32",0.0909090909090909
"61","Flow reduction
& Fine sediment
addition","Tot. richness",1,0,"BF10",10.3181818181818
"62","Flow reduction
& Fine sediment
addition","Tot. richness",2,0,"BF20",0.0454545454545455
"63","Flow reduction
& Fine sediment
addition","Tot. richness",3,0,"BF30",0
"64","Flow reduction
& Fine sediment
addition","Tot. richness",2,1,"BF21",0.00440528634361233
"65","Flow reduction
& Fine sediment
addition","Tot. richness",3,1,"BF31",0
"66","Flow reduction
& Fine sediment
addition","Tot. richness",3,2,"BF32",0
"67","Flow reduction
& Fine sediment
addition","Tagument (rel. abundance)",1,0,"BF10",1.60695187165775
"68","Flow reduction
& Fine sediment
addition","Tagument (rel. abundance)",2,0,"BF20",0.0668449197860963
