"","Treatment","Metric","g","SE","Nx","Ny","StudyID"
"1","Flow reduction","Tot. abundance",0.922756923341792,0.503866139473423,8,8,"beermann"
"2","Flow reduction","Tot. richness",-0.364872174721581,0.477729817041371,8,8,"beermann"
"3","Flow reduction","% EPT",-2.01012436352411,0.606447207674038,8,8,"beermann"
"4","Flow reduction","EPT (abundance)",-1.11865699260305,0.517845245421018,8,8,"beermann"
"5","Flow reduction","EPT (number taxa)",-0.770294899356682,0.494633497602718,8,8,"beermann"
"6","Flow reduction","% Gill breather",-0.576710402545679,0.485128295661829,8,8,"beermann"
"7","Flow reduction","Tagument (rel. abundance)",0.483983937641934,0.4814943455587,8,8,"beermann"
"8","Flow reduction","Gils/Tegument (ratio)",-0.531034900844991,0.483262282696618,8,8,"beermann"
"9","Flow reduction","% Scraper",-0.347195152789232,0.477259084953003,8,8,"beermann"
"10","Flow reduction","% Lotic",-0.187207944684039,0.47404930790845,8,8,"beermann"
"11","Flow reduction","Slow flow adapt. (rel. abundance)",0.187207944684046,0.47404930790845,8,8,"beermann"
"12","Flow reduction","Fast/Slow flow (adapt., ratio)",-0.178315847999164,0.473926856332595,8,8,"beermann"
"13","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",-0.577785456944688,0.485173978990358,8,8,"beermann"
"14","Flow reduction
& Fine sediment addition","Tot. abundance",0.63783257310015,0.487853186125271,8,8,"beermann"
"15","Flow reduction
& Fine sediment addition","Tot. richness",-0.405786762859141,0.478906976486052,8,8,"beermann"
"16","Flow reduction
& Fine sediment addition","% EPT",-4.62959042351062,0.994454221673266,8,8,"beermann"
"17","Flow reduction
& Fine sediment addition","EPT (abundance)",-5.40467470567495,1.12547924326876,8,8,"beermann"
"18","Flow reduction
& Fine sediment addition","EPT (number taxa)",-0.42082096592003,0.479370136146027,8,8,"beermann"
"19","Flow reduction
& Fine sediment addition","% Gill breather",-1.64219420168497,0.565495733174895,8,8,"beermann"
"20","Flow reduction
& Fine sediment addition","Tagument (rel. abundance)",1.54032392103328,0.555163678063634,8,8,"beermann"
"21","Flow reduction
& Fine sediment addition","Gils/Tegument (ratio)",-1.80384793909027,0.582821262419916,8,8,"beermann"
"22","Flow reduction
& Fine sediment addition","% Scraper",-0.74491461829624,0.49324319817177,8,8,"beermann"
"23","Flow reduction
& Fine sediment addition","% Lotic",-0.58499606908911,0.485482472962072,8,8,"beermann"
"24","Flow reduction
& Fine sediment addition","Slow flow adapt. (rel. abundance)",0.584996069089118,0.485482472962073,8,8,"beermann"
"25","Flow reduction
& Fine sediment addition","Fast/Slow flow (adapt., ratio)",-0.583281098029439,0.485408771845333,8,8,"beermann"
"26","Flow reduction
& Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-1.62107878716786,0.56331564726975,8,8,"beermann"
"27","Fine sediment addition","Tot. abundance",0.517815914584088,0.482749691279075,8,8,"beermann"
"28","Fine sediment addition","Tot. richness",-0.593311904454723,0.48584275449295,8,8,"beermann"
"29","Fine sediment addition","% EPT",-3.3587553326604,0.791436927080811,8,8,"beermann"
"30","Fine sediment addition","EPT (abundance)",-2.53533757143032,0.673082638838194,8,8,"beermann"
"31","Fine sediment addition","EPT (number taxa)",-0.812103561820751,0.49701617815601,8,8,"beermann"
"32","Fine sediment addition","% Gill breather",-2.04782446688649,0.610935323027135,8,8,"beermann"
"33","Fine sediment addition","Tagument (rel. abundance)",1.79082170847832,0.581384814602226,8,8,"beermann"
"34","Fine sediment addition","Gils/Tegument (ratio)",-1.89576942190719,0.593149336281795,8,8,"beermann"
"35","Fine sediment addition","% Scraper",-0.0409257209295522,0.472790537934017,8,8,"beermann"
"36","Fine sediment addition","% Lotic",-0.128215863983218,0.473347855720354,8,8,"beermann"
"37","Fine sediment addition","Slow flow adapt. (rel. abundance)",0.128215863983218,0.473347855720354,8,8,"beermann"
"38","Fine sediment addition","Fast/Slow flow (adapt., ratio)",-0.118542718832691,0.473257799680382,8,8,"beermann"
"39","Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-1.38684793067435,0.540520161691507,8,8,"beermann"
"40","Fine sediment addition
& N/P addition","Tot. abundance",-1.02679296936934,0.511003700174992,8,8,"davis"
"41","Fine sediment addition
& N/P addition","Tot. richness",0.536022343540359,0.483458893045695,8,8,"davis"
"42","Fine sediment addition
& N/P addition","% EPT",-0.943191690669397,0.505215676998887,8,8,"davis"
"43","Fine sediment addition
& N/P addition","EPT (abundance)",-1.70200603148153,0.571777136086759,8,8,"davis"
"44","Fine sediment addition
& N/P addition","EPT (number taxa)",0.162829718722786,0.4737277548469,8,8,"davis"
"45","Fine sediment addition
& N/P addition","% Gill breather",0.200724455884007,0.474246785885432,8,8,"davis"
"46","Fine sediment addition
& N/P addition","Tagument (rel. abundance)",-0.163191566594554,0.473732201703068,8,8,"davis"
"47","Fine sediment addition
& N/P addition","Gils/Tegument (ratio)",0.21913577721866,0.474537766504787,8,8,"davis"
"48","Fine sediment addition
& N/P addition","% Scraper",-0.338796023408393,0.477043455197965,8,8,"davis"
