"","Treatment","Metric","n","DC","DC_scaled","mean_effect","tau2","tau","I2","Q","Q_p"
"1","Fine sediment addition","EPT (abundance)",12,0.919119171469903,-0.838238342939806,-1.78932105816872,2.26394745013401,1.50464196742415,80.9144629861775,40.7913140941976,2.61765633289718e-05
"2","Fine sediment addition","% EPT",12,0.938801272128066,-0.877602544256132,-1.83752882992764,3.86601412500383,1.96621822924207,88.2470698344474,58.2235593041485,1.97854628470992e-08
"3","Fine sediment addition","EPT (number taxa)",12,0.869191455382264,-0.738382910764527,-0.448298774133491,0.186943973808807,0.432370181451967,35.2808974909387,18.2962695293615,0.0749558404329579
"4","Fine sediment addition","Fast/Slow flow (adapt., ratio)",12,0.991110051726039,-0.982220103452079,-1.65871673356936,1.22771800921265,1.10802437212033,72.0443026641523,35.6635443091537,0.000192469737528953
"5","Fine sediment addition","% Lotic",12,0.990561140544056,-0.981122281088111,-1.78049120920579,1.6839325717706,1.2976642754467,77.4898542307994,40.2131719181335,3.28926482106986e-05
"6","Fine sediment addition","% Gill breather",12,0.918846741149824,-0.837693482299648,-0.90486545630535,1.52482201665871,1.23483683807162,79.3284763907647,42.3498061160772,1.40874292589508e-05
"7","Fine sediment addition","Gils/Tegument (ratio)",12,0.889426880457129,-0.778853760914258,-0.767647629258798,1.17913119984767,1.08587807780048,75.3138461509251,38.8933824859661,5.52293567244897e-05
"8","Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",12,0.943762467534065,-0.88752493506813,-1.14199604154011,0.776350453912452,0.881107515523759,65.2830641760648,30.2657854220999,0.00143919356875136
"9","Fine sediment addition","% Scraper",12,0.95172972520303,-0.903459450406059,-0.811421120746087,0.7262208489827,0.852185923952455,65.8050058646769,29.7878721113302,0.00171075174393523
"10","Fine sediment addition","Slow flow adapt. (rel. abundance)",12,0.00943885945594445,0.981122281088111,1.78049120920579,1.68393257177059,1.29766427544669,77.4898542307993,40.2131719181334,3.28926482106998e-05
"11","Fine sediment addition","Tot. richness",12,0.889646889871269,-0.779293779742539,-0.360488480818227,2.55345599083505e-06,0.00159795368857644,0.000787871460610646,10.4024661258542,0.494589181824541
"12","Fine sediment addition","Tagument (rel. abundance)",12,0.119072935530755,0.761854128938489,0.814796140937942,1.56006529506944,1.24902573835347,79.833608630051,42.9193533613101,1.121761385188e-05
"13","Fine sediment addition","Tot. abundance",12,0.669177376766283,-0.338354753532565,-0.288262714976024,0.583354847808687,0.763776700226373,62.434875475863,28.4009806300482,0.00280936903956702
"14","Flow reduction
× Fine sediment addition","EPT (abundance)",6,1,-1,-2.50590255651878,1.96848947887846,1.40302868070416,74.3370118968409,19.2950212656311,0.00169344267203854
"15","Flow reduction
× Fine sediment addition","% EPT",6,1,-1,-2.49281754130799,2.0313748445594,1.42526307906975,75.0053356997886,19.9835156151068,0.00125866328568484
"16","Flow reduction
× Fine sediment addition","EPT (number taxa)",6,1,-1,-0.735418195085691,0,0,0,3.18734777194181,0.671127786363229
"17","Flow reduction
× Fine sediment addition","Fast/Slow flow (adapt., ratio)",6,0.973907893907584,-0.947815787815169,-1.64167500071255,1.92992391142225,1.38921701379671,79.4177745877772,19.0918948407067,0.00184782885698965
"18","Flow reduction
× Fine sediment addition","% Lotic",6,0.964141693532705,-0.92828338706541,-1.58085234533433,1.82238561127554,1.34995763314096,78.6282773574861,19.0088716632171,0.00191483694011305
"19","Flow reduction
× Fine sediment addition","% Gill breather",6,0.577659885519989,-0.155319771039978,-0.343160394162153,4.90409936640374,2.2145201210203,90.6508707605326,36.6400117114044,7.071741740473e-07
"20","Flow reduction
× Fine sediment addition","Gils/Tegument (ratio)",6,0.629645057873539,-0.259290115747078,-0.469465986883733,4.55651437222682,2.13459934700328,90.0545403048663,37.000471496013,5.98817690513822e-07
"21","Flow reduction
× Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",6,0.932455107300104,-0.864910214600209,-0.945648856308726,0.770771039162531,0.877935669148105,65.6894017810569,14.0444194225607,0.0153297064188477
"22","Flow reduction
× Fine sediment addition","% Scraper",6,0.528533245922907,-0.0570664918458148,-0.212518757500719,1.10783129110282,1.05253564837625,74.4423228560144,15.6915067871497,0.00778231564764184
"23","Flow reduction
× Fine sediment addition","Slow flow adapt. (rel. abundance)",6,0.0358583064672953,0.928283387065409,1.58085234533433,1.82238561127554,1.34995763314096,78.628277357486,19.008871663217,0.00191483694011307
"24","Flow reduction
× Fine sediment addition","Tot. richness",6,1,-1,-0.568069732864514,0,0,0,1.18954121647833,0.945876800312335
"25","Flow reduction
× Fine sediment addition","Tagument (rel. abundance)",6,0.427337624617697,0.145324750764606,0.316474778971119,4.71558885564476,2.17154066405508,90.4751700312381,35.3104330261864,1.30455131329665e-06
"26","Flow reduction
× Fine sediment addition","Tot. abundance",6,0.874995451328463,-0.749990902656925,-0.594912645047409,0.306582895974702,0.553699282981928,46.6639941695203,9.32339893490223,0.09683958100305
"27","Fine sediment addition
× N/P addition","EPT (abundance)",8,0.986892402259585,-0.973784804519169,-1.69028538328425,0.853620563603549,0.923915885567268,60.2675175683293,18.6802936669345,0.0092500914702297
"28","Fine sediment addition
× N/P addition","% EPT",8,0.973583995735816,-0.947167991471632,-1.47758936052615,1.86050472446586,1.36400319811424,78.2164260106962,25.1487614022329,0.000714068639017292
"29","Fine sediment addition
× N/P addition","EPT (number taxa)",8,0.917480161786819,-0.834960323573639,-0.377961434310073,4.39245770181634e-06,0.00209581910045126,0.00121763900958257,7.20116466979694,0.408239687186555
"30","Fine sediment addition
× N/P addition","Fast/Slow flow (adapt., ratio)",8,0.976741209710003,-0.953482419420005,-1.43784458014477,1.1731592339467,1.08312475456279,69.4278564432437,21.9400349428743,0.00260158893862626
"31","Fine sediment addition
× N/P addition","% Lotic",8,0.975430311273987,-0.950860622547974,-1.41626046318565,1.13457719392402,1.06516533642624,68.8167025278074,21.8144517110256,0.00273438643786549
"32","Fine sediment addition
× N/P addition","% Gill breather",8,0.931912614548343,-0.863825229096686,-0.375869936845998,0.0621184552856848,0.249235742391987,14.2853427391853,10.4338177247149,0.165293002751859
"33","Fine sediment addition
× N/P addition","Gils/Tegument (ratio)",8,0.890103912643235,-0.780207825286471,-0.294641143442492,0.0147799316115424,0.12157274205817,3.84840815510737,10.4274672033081,0.165615421761181
"34","Fine sediment addition
× N/P addition","Non EPT fast flow (adapt., rel. abd.)",8,0.905493896538538,-0.810987793077076,-0.815924971256974,0.651522266993587,0.807169292647823,60.6366738996295,16.9746048376798,0.0175606713743939
"35","Fine sediment addition
× N/P addition","% Scraper",8,0.879901530098224,-0.759803060196448,-0.536141243669283,0.360555812006326,0.600462998032623,47.9180206287604,13.6466585611894,0.057834815834896
"36","Fine sediment addition
× N/P addition","Slow flow adapt. (rel. abundance)",8,0.0245696887260133,0.950860622547973,1.41626046318565,1.13457719392402,1.06516533642624,68.8167025278075,21.8144517110256,0.00273438643786546
"37","Fine sediment addition
× N/P addition","Tot. richness",8,0.837091171891146,-0.674182343782292,-0.371618076284691,0.258673928517675,0.508599969050014,40.6970823161486,12.9926567395932,0.0722875104462602
"38","Fine sediment addition
× N/P addition","Tagument (rel. abundance)",8,0.11586938808643,0.768261223827141,0.326771310236797,0.0741835604508593,0.272366592024167,16.6499573966936,10.82755386895,0.146319922896332
"39","Fine sediment addition
× N/P addition","Tot. abundance",8,0.902030302835449,-0.804060605670898,-0.816393794869465,0.0654374049719728,0.25580735910441,14.1979955108264,8.60042952490247,0.282630023414605
"40","Flow reduction
× Fine sediment addition
× N/P addition","EPT (abundance)",4,1,-1,-2.10183169144334,1.20748498343748,1.09885621599802,64.6053274810814,8.75500134716373,0.032732017787484
"41","Flow reduction
× Fine sediment addition
× N/P addition","% EPT",4,1,-1,-2.28045290240567,2.42963949946376,1.55873009192219,77.6376672278118,10.451387746746,0.0150943141500933
