"","Treatment","Metric","mu","se","ll","ul","I2","n"
"1","Flow reduction
& Fine sediment
addition","EPT (abundance)",-1.1896,0.8128,-2.7562,0.0696,0.0174,6
"2","Flow reduction
& Fine sediment
addition","% EPT",-1.1769,0.8066,-2.731,0.0822,0.0167,6
"3","Flow reduction
& Fine sediment
addition","EPT (number taxa)",-0.617,0.2525,-1.0432,-0.0108,0.0132,6
"4","Flow reduction
& Fine sediment
addition","% Lotic",-0.8227,0.5728,-1.8947,0.1413,0.0164,6
"5","Flow reduction
& Fine sediment
addition","Fast/Slow flow (adapt., ratio)",-0.828,0.559,-1.8711,0.1141,0.0176,6
"6","Flow reduction
& Fine sediment
addition","% Gill breather",-0.4443,0.4318,-1.2637,0.2201,0.0191,6
"7","Flow reduction
& Fine sediment
addition","Gils/Tegument (ratio)",-0.4358,0.3996,-1.1697,0.1924,0.0214,6
"8","Flow reduction
& Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",-0.6415,0.3685,-1.3781,0.1244,0.0226,6
"9","Flow reduction
& Fine sediment
addition","% Scraper",-0.3377,0.3044,-0.8742,0.1469,0.0212,6
"10","Flow reduction
& Fine sediment
addition","Slow flow adapt. (rel. abundance)",-0.2237,0.3296,-0.8432,0.2174,0.0221,6
"11","Flow reduction
& Fine sediment
addition","Tot. richness",-0.5103,0.2328,-0.9052,0.0231,0.0216,6
"12","Flow reduction
& Fine sediment
addition","Tagument (rel. abundance)",-0.325,0.3676,-0.957,0.2065,0.0251,6
"13","Flow reduction
& Fine sediment
addition","Tot. abundance",-0.4905,0.2808,-0.9353,0.0985,0.0208,6
"14","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (abundance)",-0.8869,0.6776,-2.2127,0.1959,0.0188,4
"15","Flow reduction
& Fine sediment
addition
& N/P addition","% EPT",-0.8746,0.7395,-2.5784,0.1323,0.0168,4
"16","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (number taxa)",-0.6613,0.3262,-1.2451,0.071,0.0067,4
"17","Flow reduction
& Fine sediment
addition
& N/P addition","% Lotic",-0.6953,0.6486,-2.0722,0.237,0.0054,4
"18","Flow reduction
& Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",-0.6383,0.5996,-1.8751,0.2064,0.0176,4
"19","Flow reduction
& Fine sediment
addition
& N/P addition","% Gill breather",-0.4045,0.4224,-1.1465,0.2406,0.0165,4
"20","Flow reduction
& Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",-0.4,0.4151,-1.1076,0.2367,0.0153,4
"21","Flow reduction
& Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",-0.4913,0.4149,-1.2681,0.205,0.0161,4
"22","Flow reduction
& Fine sediment
addition
& N/P addition","% Scraper",-0.331,0.3703,-0.9583,0.2001,0.0208,4
"23","Flow reduction
& Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",-0.3736,0.4525,-1.2825,0.2426,0.0213,4
"24","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. richness",-0.484,0.2879,-0.939,0.1109,0.0207,4
"25","Flow reduction
& Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",-0.4125,0.4414,-1.3608,0.2333,0.0223,4
"26","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. abundance",-0.5738,0.3229,-1.0936,0.0998,0.0175,4
